# DECISIONS: include | maybe | exclude,,,,,,
# EXCLUSION REASONS: population (not consciousness-relevant) ; exposure (no quantitative complexity measure) ; data (no neural recording) ; publication-type (editorial/protocol/non-study) ; not-retrievable ; other,,,,,,
# Screen BLIND to Elicit. Fill my_decision for every row; add my_primary_exclusion_reason only when excluding.,,,,,,
pmid,title,journal,year,abstract,my_decision,my_primary_exclusion_reason
31573056,Comparison of high versus low frequency cerebral physiology for cerebrovascular reactivity assessment in traumatic brain injury: a multi-center pilot study.,Journal of clinical monitoring and computing,2020,"Current accepted cerebrovascular reactivity indices suffer from the need of high frequency data capture and export for post-acquisition processing. The role for minute-by-minute data in cerebrovascular reactivity monitoring remains uncertain. The goal was to explore the statistical time-series relationships between intra-cranial pressure (ICP), mean arterial pressure (MAP) and pressure reactivity index (PRx) using both 10-s and minute data update frequency in TBI. Prospective data from 31 patients from 3 centers with moderate/severe TBI and high-frequency archived physiology were reviewed. Both 10-s by 10-s and minute-by-minute mean values were derived for ICP and MAP for each patient. Similarly, PRx was derived using 30 consecutive 10-s data points, updated every minute. While long-PRx (L-PRx) was derived via similar methodology using minute-by-minute data, with L-PRx derived using various window lengths (5, 10, 20, 30, 40, and 60 min; denoted L-PRx_5, etc.). Time-series autoregressive integrative moving average (ARIMA) and vector autoregressive integrative moving average (VARIMA) models were created to analyze the relationship of these parameters over time. ARIMA modelling, Granger causality testing and VARIMA impulse response function (IRF) plotting demonstrated that similar information is carried in minute mean ICP and MAP data, compared to 10-s mean slow-wave ICP and MAP data. Shorter window L-PRx variants, such as L-PRx_5, appear to have a similar ARIMA structure, have a linear association with PRx and display moderate-to-strong correlations (r ~ 0.700, p < 0.0001 for each patient). Thus, these particular L-PRx variants appear closest in nature to standard PRx. ICP and MAP derived via 10-s or minute based averaging display similar statistical time-series structure and co-variance patterns. PRx and L-PRx based on shorter windows also behave similarly over time. These results imply certain L-PRx variants may carry similar information to PRx in TBI.",exclude,No consciousness relevance
31712616,Permutation entropy in intraoperative ECoG of brain tumour patients in awake tumour surgery- a robust parameter to separate consciousness from unconsciousness.,Scientific reports,2019,"Awake craniotomies represent an essential opportunity in the case of lesions in eloquent areas. Thus, optimal surveillance of the patient during different stages of sedation, as well as the detection of seizure activity during brain surgery, remains difficult, as skin electrodes for electroencephalographic (EEG) analysis are not applicable in most cases. We assessed the applicability of ECoG to monitor different stages of sedation, as well as the influence of different patient characteristics, such as tumour volume, size, entity, and age or gender on permutation entropy (PeEn). We conducted retrospective analysis of the ECoG data of 16 patients, who underwent awake craniotomies because of left-sided brain tumours at our centre between 2014 and 2016. PeEn could be easily calculated and compared using frontal and parietal cortical electrodes. A comparison of PeEn scores showed significantly higher values in awake patients than in patients under anaesthesia (p ≤ 0.004) and significantly higher ones in the state of transition than under general anaesthesia (p = 0.023). PeEn scores in frontal and parietal leads did not differ significantly, making them both applicable for continuous surveillance during brain surgery. None of the following clinical characteristics showed significant correlation with PeEn scores: tumour volume, WHO grade, first or recurrent tumour, gender, and sex. Being 50 years or older led to significantly lower values in parietal leads but not in frontal leads. ECoG and a consecutive analysis of PeEn are feasible and suitable for the continuous surveillance of patients during awake craniotomies. Hence, the analysis is not influenced by patients' clinical characteristics.",include,
31744382,Signal Information Prediction of Mortality Identifies Unique Patient Subsets after Severe Traumatic Brain Injury: A Decision-Tree Analysis Approach.,Journal of neurotrauma,2020,"Nonlinear physiological signal features that reveal information content and causal flow have recently been shown to be predictors of mortality after severe traumatic brain injury (TBI). The extent to which these features interact together, and with traditional measures to describe patients in a clinically meaningful way remains unclear. In this study, we incorporated basic demographics (age and initial Glasgow Coma Scale [GCS]) with linear and non-linear signal information based features (approximate entropy [ApEn], and multivariate conditional Granger causality [GC]) to evaluate their relative contributions to mortality using cardio-cerebral monitoring data from 171 severe TBI patients admitted to a single neurocritical care center over a 10 year period. Beyond linear modelling, we employed a decision tree analysis approach to define a predictive hierarchy of features. We found ApEn (p = 0.009) and GC (p = 0.004) based features to be independent predictors of mortality at a time when mean intracranial pressure (ICP) was not. Our combined model with both signal information-based features performed the strongest (area under curve = 0.86 vs. 0.77 for linear features only). Although low ""intracranial"" complexity (ApEn-ICP) outranked both age and GCS as crucial drivers of mortality (fivefold increase in mortality where ApEn-ICP <1.56, 36.2% vs. 7.8%), decision tree analysis revealed clear subsets of patient populations using all three predictors. Patients with lower ApEn-ICP who were >60 years of age died, whereas those with higher ApEn-ICP and GCS ≥5 all survived. Yet, even with low initial intracranial complexity, as long as patients maintained robust GC and ""extracranial"" complexity (ApEn of mean arterial pressure), they all survived. Incorporating traditional linear and novel, non-linear signal information features, particularly in a framework such as decision trees, may provide better insight into ""health"" status. However, caution is required when interpreting these results in a clinical setting prior to external validation.",maybe,
31866667,Bifocal Tibial Kaposiform Hemangioendothelioma Responsive to Vincristine Therapy: A Case Report.,The American journal of case reports,2019,"BACKGROUND Kaposiform hemangioendothelioma is a rare locally aggressive vascular endothelial-derived spindle cells neoplasm. Herein, we report a rare case of bifocal tibial kaposiform hemangioendothelioma. CASE REPORT A 9-year-old female presented with a 2-year history of pain and swelling in the left leg. The patient had a high plasma level of the D-dimer and fibrinogen. Radiography revealed a centric lytic lesion on the left proximal tibial metaphysis and an eccentric lateral distal tibial metaphyseal. Histopathologic examination of the sample taken from the distal tibia revealed a dense spindle cell tumor with lobular architecture composed of compact spindle cells compressing small slit-like vascular spaces, forming glomeruloid nests. No necrosis was identified. Based on these findings and the positive immunohistochemical staining for CD31, CD34, and D2-40, the patient was diagnosed with kaposiform hemangioendothelioma. Treatment was started by using vincristine chemotherapy, after which the patient developed temporary peroneal neuropathy, which improved over the next 3 months. CONCLUSIONS Bifocal tibial kaposiform hemangioendothelioma lesions are unique in pediatric patients and can be successfully treated with vincristine chemotherapy. In these cases, the treating physician should be aware of peroneal neuropathy as a potential complication of vincristine administration.",exclude,"No consciousness relevance, no complexity measures and no neural data"
32135262,Memory in time: Neural tracking of low-frequency rhythm dynamically modulates memory formation.,NeuroImage,2020,"Time is a critical component of episodic memory. Yet it is currently unclear how different types of temporal signals are represented in the brain and how these temporal signals support episodic memory. The current study investigated whether temporal cues provided by low-frequency environmental rhythms influence memory formation. Specifically, we tested the hypothesis that neural tracking of low-frequency rhythm serves as a mechanism of selective attention that dynamically biases the encoding of visual information at specific moments in time. Participants incidentally encoded a series of visual objects while passively listening to background, instrumental music with a steady beat. Objects either appeared in-synchrony or out-of-synchrony with the background beat. Participants were then given a surprise subsequent memory test (in silence). Results revealed significant neural tracking of the musical beat at encoding, evident in increased electrophysiological power and inter-trial phase coherence at the perceived beat frequency (1.25 ​Hz). Importantly, enhanced neural tracking of the background rhythm at encoding was associated with superior subsequent memory for in-synchrony compared to out-of-synchrony objects at test. Together, these results provide novel evidence that the brain spontaneously tracks low-frequency musical rhythm during naturalistic listening situations, and that the strength of this neural tracking is associated with the effects of rhythm on higher-order cognitive processes such as episodic memory.",maybe,
32283181,Internal Jugular Vein Compression Collar Mitigates Histopathological Alterations after Closed Head Rotational Head Impact in Swine: A Pilot Study.,Neuroscience,2020,"Recently, there has been increased concern about microstructural brain changes after head trauma. Clinical studies have investigated a neck collar that applies gentle bilateral jugular vein compression, designed to increase intracranial blood volume and brain stiffness during head trauma, which neuroimaging has shown to result in a reduction in brain microstructural alterations after a season of American football and soccer. Here, we utilized a swine model of mild traumatic brain injury to investigate the effects of internal jugular vein (IJV) compression on histopathological outcomes after injury. Animals were randomized to collar treatment (n = 8) or non-collar treatment (n = 6), anesthetized and suspended such that the head was supported by breakable tape. A custom-built device was used to impact the head, thus allowing the head to break the tape and rotate along the sagittal plane. Accelerometer data were collected for each group. Sham injured animals (n = 2) were exposed to anesthesia only. Following single head trauma, animals were euthanized and brains collected for histology. Whole slide immunohistochemistry was analyzed using Qupath software. There was no difference in linear or rotational acceleration between injured collar and non-collar animals (p > 0.05). Injured animals demonstrated higher levels of the phosphorylated tau epitope AT8 (p < 0.05) and the inflammatory microglial marker IBA1 (p < 0.05) across the entire brain, but the effect of injury was markedly reduced by collar treatment (p < 0.05) The current results indicate that internal jugular venous compression protects against histopathological alterations related to closed head trauma exposure.",exclude,"No consciousness relevance, no complexity measures and no neural data"
32389872,Decompensation of a Thoracic Meningioma Below the Operated Level: A Dramatic and Unexpected Complication.,World neurosurgery,2020,"BACKGROUND: Paraplegia after lumbar spinal surgery has been previously described. It was generally provoked by a missed thoracic compression because of degenerative processes, arachnoid cyst, and spinal cord tumor such as meningioma. We describe here a case of a patient with neurofibromatosis type 2 (NF-2) with multiple spinal meningiomas that developed postoperative paraplegia because of decompensation of spinal cord compression below and far from the operated level. CASE DESCRIPTION: A 54-year-old woman with NF-2 was followed-up for multiple spinal meningiomas (C7-T1, T6-7, T9-10 levels). Surgery for the symptomatic and larger lesion (C7-T1) was scheduled. Postoperatively, the patient was found to have paraplegia with sensor anesthesia below the level of the T6 vertebra. An urgent spinal magnetic resonance imaging (MRI) scan was performed revealing the absence of complication at the operated level (C7-T1) but the appearance of a marked intramedullary hyperintensity at the T6-7 level. An urgent T6-7 laminectomy and removal of the meningioma was performed. The postoperative phase was marked by a poor recuperation. Spinal MRI scan at 3 months clearly showed a severely injured spinal cord at the T6-7 level consistent with the neurologic status of the patient. CONCLUSIONS: We report here the first case of acute neurologic deterioration after decompensation of a spinal cord compression below the operated level in spinal intradural surgery. Neurosurgeons must be aware of this possible complication when treating patients with multiple spinal meningiomas.",exclude,"No consciousness relevance, no complexity measures and no neural data"
32403093,Auditory attention tracking states in a cocktail party environment can be decoded by deep convolutional neural networks.,Journal of neural engineering,2020,"OBJECTIVE: A deep convolutional neural network (CNN) is a method for deep learning (DL). It has a powerful ability to automatically extract features and is widely used in classification tasks with scalp electroencephalogram (EEG) signals. However, the small number of samples and low signal-to-noise ratio involved in scalp EEG with low spatial resolution constitute a limitation that might restrict potential brain-computer interface (BCI) applications that are based on the CNN model. In the present study, a novel CNN model with source-spatial feature images (SSFIs) as the input is proposed to decode auditory attention tracking states in a cocktail party environment. APPROACH: We first extract SSFIs using rhythm entropy and weighted minimum norm estimation. Next, we develop a CNN model with three convolutional layers. Furthermore, we estimate the performance of the proposed model via generalized performance, alternative models that deleted or replaced a model's component, and loss curves. Finally, we use a deep transfer model with fine-tuning for a low (poor) behavioral performance group (L-group). MAIN RESULTS: Based on cortical activity reconstructions from the scalp EEGs, the classification accuracy (CA) of the proposed model is 80.4% (chance level: 52.5%), which is superior to that achieved by scalp EEG. Additionally, the performance of the proposed model is more stable when compared to alternative models that delete or replace specific model components. The proposed model identifies the difference between two auditory attention tracking states (successful versus unsuccessful) at an early stage with a short time window (250 ms after target offset). Furthermore, we propose a deep transfer learning model to improve the classification for the L-group. With this model, the CA of the L-group significantly increase by 5.3%. SIGNIFICANCE: Our proposed model improves the performance of a decoder for auditory attention tracking, which could be suitable for relieving the difficulty with the attentional modulation of individual's neural responses. It provides a novel communication channel with auditory cognitive BCI for patients with attention and hearing impairment.",maybe,
32551137,"High-voltage, diffuse delta rhythms coincide with wakeful consciousness and complexity in Angelman syndrome.",Neuroscience of consciousness,2020,"Abundant evidence from slow wave sleep, anesthesia, coma, and epileptic seizures links high-voltage, slow electroencephalogram (EEG) activity to loss of consciousness. This well-established correlation is challenged by the observation that children with Angelman syndrome (AS), while fully awake and displaying volitional behavior, display a hypersynchronous delta (1-4 Hz) frequency EEG phenotype typical of unconsciousness. Because the trough of the delta oscillation is associated with down-states in which cortical neurons are silenced, the presence of volitional behavior and wakefulness in AS amidst diffuse delta rhythms presents a paradox. Moreover, high-voltage, slow EEG activity is generally assumed to lack complexity, yet many theories view functional brain complexity as necessary for consciousness. Here, we use abnormal cortical dynamics in AS to assess whether EEG complexity may scale with the relative level of consciousness despite a background of hypersynchronous delta activity. As characterized by multiscale metrics, EEGs from 35 children with AS feature significantly greater complexity during wakefulness compared with sleep, even when comparing the most pathological segments of wakeful EEG to the segments of sleep EEG least likely to contain conscious mentation and when factoring out delta power differences across states. These findings (i) warn against reverse inferring an absence of consciousness solely on the basis of high-amplitude EEG delta oscillations, (ii) corroborate rare observations of preserved consciousness under hypersynchronization in other conditions, (iii) identify biomarkers of consciousness that have been validated under conditions of abnormal cortical dynamics, and (iv) lend credence to theories linking consciousness with complexity.",include,
32921270,Capability of processed EEG parameters to monitor conscious sedation in endoscopy is similar to general anaesthesia.,United European gastroenterology journal,2021,"BACKGROUND: Reliable and safe sedation is a prerequisite for endoscopic interventions. The current standard is rather safe, yet, an objective device to measure sedation depth is missing. To date, anaesthesia monitors based on processed electroencephalogram (EEG) have not been utilised in conscious sedation. OBJECTIVE: To investigate EEG parameters to differentiate consciousness in endoscopic propofol sedation. METHODS: In total, 171 patients aged 21-83 years (ASA I-III) undergoing gastrointestinal and bronchial endoscopy were enrolled. Standard monitoring and a frontotemporal two-channel EEG were recorded. The state of consciousness was identified by repeated requests to squeeze the investigator's hand. RESULTS: In total, 1132 state-of-consciousness (SOC) transitions were recorded in procedures ranging from 5 to 69 min. Thirty-four EEG parameters from the frequency domain, time-frequency domain and complexity measures were calculated. Area under the curve ranged from 0.51 to 0.82 with complexity and optimised frequency domain parameters yielding the best results. CONCLUSION: Prediction of the SOC with processed EEG parameters is feasible, and the results for sedation in endoscopic procedures are similar to those reported from general anaesthesia. These results are insufficient for a clinical application, but prediction capability may be increased with optimisation and modelling.",include,
33248950,Injury volume extracted from MRI predicts neurologic outcome in acute spinal cord injury: A prospective TRACK-SCI pilot study.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2020,"Conventional MRI measures of traumatic spinal cord injury severity largely rely on 2-dimensional injury characteristics such as intramedullary lesion length and cord compression. Recent advances in spinal cord (SC) analysis have led to the development of a robust anatomic atlas incorporated into an open-source platform called the Spinal Cord Toolbox (SCT) that allows for quantitative volumetric injury analysis. In the current study, we evaluate the prognostic value of volumetric measures of spinal cord injury on MRI following registration of T2-weighted (T2w) images and segmented lesions from acute SCI patients with a standardized atlas. This IRB-approved prospective cohort study involved the image analysis of 60 blunt cervical SCI patients enrolled in the TRACK-SCI clinical research protocol. Axial T2w MRI data obtained within 24 h of injury were processed using the SCT. Briefly, SC MRIs were automatically segmented using the sct_deepseg_sc tool in the SCT and segmentations were manually corrected by a neuro-radiologist. Lesion volume data were used as predictor variables for correlation with lower extremity motor scores at discharge. Volumetric MRI measures of T2w signal abnormality comprising the SCI lesion accurately predict lower extremity motor scores at time of patient discharge. Similarly, MRI measures of injury volume significantly correlated with motor scores to a greater degree than conventional 2-D metrics of lesion size. The volume of total injury and of injured spinal cord motor regions on T2w MRI is significantly and independently associated with neurologic outcome at discharge after injury.",exclude,"No consciousness relevance, no complexity measures and no neural data"
33285360,ERP markers of action planning and outcome monitoring in human - robot interaction.,Acta psychologica,2021,"The present study aimed to examine event-related potentials (ERPs) of action planning and outcome monitoring in human-robot interaction. To this end, participants were instructed to perform costly actions (i.e. losing points) to stop a balloon from inflating and to prevent its explosion. They performed the task alone (individual condition) or with a robot (joint condition). Similar to findings from human-human interactions, results showed that action planning was affected by the presence of another agent, robot in this case. Specifically, the early readiness potential (eRP) amplitude was larger in the joint, than in the individual, condition. The presence of the robot affected also outcome perception and monitoring. Our results showed that the P1/N1 complex was suppressed in the joint, compared to the individual condition when the worst outcome was expected, suggesting that the presence of the robot affects attention allocation to negative outcomes of one's own actions. Similarly, results also showed that larger losses elicited smaller feedback-related negativity (FRN) in the joint than in the individual condition. Taken together, our results indicate that the social presence of a robot may influence the way we plan our actions and also the way we monitor their consequences. Implications of the study for the human-robot interaction field are discussed.",exclude,"No consciousness relevance, no complexity measures"
33479280,"A set of composite, non-redundant EEG measures of NREM sleep based on the power law scaling of the Fourier spectrum.",Scientific reports,2021,"Features of sleep were shown to reflect aging, typical sex differences and cognitive abilities of humans. However, these measures are characterized by redundancy and arbitrariness. Our present approach relies on the assumptions that the spontaneous human brain activity as reflected by the scalp-derived electroencephalogram (EEG) during non-rapid eye movement (NREM) sleep is characterized by arrhythmic, scale-free properties and is based on the power law scaling of the Fourier spectra with the additional consideration of the rhythmic, oscillatory waves at specific frequencies, including sleep spindles. Measures derived are the spectral intercept and slope, as well as the maximal spectral peak amplitude and frequency in the sleep spindle range, effectively reducing 191 spectral measures to 4, which were efficient in characterizing known age-effects, sex-differences and cognitive correlates of sleep EEG. Future clinical and basic studies are supposed to be significantly empowered by the efficient data reduction provided by our approach.",include,
33504952,Out-of-step: brain-heart desynchronization in anxiety disorders.,Molecular psychiatry,2021,"Imaging studies in anxiety disorders (AD) show abnormal functional connectivity primarily in the salience network (SN), somatomotor network (SMN), and default mode network (DMN). However, it is not clear how precisely these network changes occur including their relation to psychopathological symptoms. Here, we show that the functional networks affected in AD overlap with cortical regions that receive visceral inputs (the so-called central/visceral autonomic network). Focusing on cardiac afferents, we suggest that network changes in AD may be due to reduced phase synchronization between ongoing neural and cardiac activity. This neuro-cardiac desynchronization occurs due to the abnormal phase resetting of neural activity at the onset of each heartbeat, as measured by a lower intertrial coherence and heartbeat-evoked potential. Biochemically, cardiac afferents reach subcortical serotonergic raphe nuclei and noradrenergic locus coeruleus (among others) which, in turn, are known to reciprocally modulate the DMN and SMN/SN on the cortical level. Consistent with the network changes in AD, decreases in serotonergic and noradrenergic activity are known to increase connectivity in both SMN and SN while, at the same time, they decrease DMN connectivity. SMN and SN increases, in turn, lead to increased emotional arousal/anxiety and bodily awareness whereas decreased DMN connectivity leads to an unstable sense-of-self in AD. Finally, we integrate our proposal with interoceptive predictive processing models suggesting neuro-cardiac desynchronization as a mechanism for ""noisy"" bottom-up information leading to a persistently uncertain bodily state in top-down models. In sum, integrating theories on active interference and hyperarousal, we propose a precise neuro-cardiac and biochemically -driven mechanisms for key psychopathological symptoms of AD.",maybe,
33577934,How hot is the hot zone? Computational modelling clarifies the role of parietal and frontoparietal connectivity during anaesthetic-induced loss of consciousness.,NeuroImage,2021,"In recent years, specific cortical networks have been proposed to be crucial for sustaining consciousness, including the posterior hot zone and frontoparietal resting state networks (RSN). Here, we computationally evaluate the relative contributions of three RSNs - the default mode network (DMN), the salience network (SAL), and the central executive network (CEN) - to consciousness and its loss during propofol anaesthesia. Specifically, we use dynamic causal modelling (DCM) of 10 min of high-density EEG recordings (N = 10, 4 males) obtained during behavioural responsiveness, unconsciousness and post-anaesthetic recovery to characterise differences in effective connectivity within frontal areas, the posterior 'hot zone', frontoparietal connections, and between-RSN connections. We estimate - for the first time - a large DCM model (LAR) of resting EEG, combining the three RSNs into a rich club of interconnectivity. Consistent with the hot zone theory, our findings demonstrate reductions in inter-RSN connectivity in the parietal cortex. Within the DMN itself, the strongest reductions are in feed-forward frontoparietal and parietal connections at the precuneus node. Within the SAL and CEN, loss of consciousness generates small increases in bidirectional connectivity. Using novel DCM leave-one-out cross-validation, we show that the most consistent out-of-sample predictions of the state of consciousness come from a key set of frontoparietal connections. This finding also generalises to unseen data collected during post-anaesthetic recovery. Our findings provide new, computational evidence for the importance of the posterior hot zone in explaining the loss of consciousness, highlighting also the distinct role of frontoparietal connectivity in underpinning conscious responsiveness, and consequently, suggest a dissociation between the mechanisms most prominently associated with explaining the contrast between conscious awareness and unconsciousness, and those maintaining consciousness.",include,
33839834,Comparison of Waveforms Between Noninvasive and Invasive Monitoring of Intracranial Pressure.,Acta neurochirurgica. Supplement,2021,"Intracranial pressure (ICP) is an important invasive monitoring parameter in management of patients with acute brain injury and compromised compliance. This study aimed to compare waveforms obtained from standard ICP monitoring and noninvasive ICP monitoring (nICP) methods.We analyzed continuous arterial blood pressure (ABP) waves, ICP (with standard monitoring), and nICP recorded simultaneously. All signal recordings were sliced into data chunks, each 1 min in duration, and from the mean pulse, we determined the time to peak (Tp) and the ratio between tidal and percussion waves (P2/P1). We also calculated the Isomap projection of the pulses into a bidimensional space-K1 and K2. The defined nICP and ICP parameters were compared using a unilateral Wilcoxon-Mann-Whitney test. The Pearson correlation coefficient and normalized mutual information were used to verify the association between parameters.In total, 1504 min of monitoring from ten patients were studied. Nine of the patients were male. The mean age of the patients was 58.4 ± 10.4 years, and they had an initial Glasgow Coma Scale of 9 ± 4, a mean Simplified Acute Physiology Score (SAPS II) of 45.6, and an intensive care unit stay of 44 ± 45 days. With the exception of Tp, all parameters showed a weak linear association but presented a strong nonlinear association.Mutual information analysis and a bigger sample size would be helpful to build more refined models and to improve understanding of the waveform relationships.",exclude,No consciousness relevance
34011293,Spinal arteriovenous malformation in a pediatric patient with a history of congenital syphilis: a case report.,BMC pediatrics,2021,"BACKGROUND: Spinal arteriovenous malformations in children are extremely rare and pose great risk for intraoperative hemorrhage. Congenital syphilis sometimes presents with vascular symptoms, however, there is little published on patients with a history of congenital syphilis presenting with spinal arteriovenous malformations. CASE PRESENTATION: A 15-month-old female with a history of congenital syphilis presented with urinary retention, fever, and subacute onset of paraplegia. MRI showed a lesion at T8-L1, angiogram was performed which confirmed the presence of a complex type IVc arteriovenous malformation and fistula from Artery of Adamkiewicz at L1-L2. It also showed peri medullary dilated veins and a pseudoaneurysm that compressed the spinal cord at T8-T10. Somatosensory evoked potentials and motor-evoked potentials were not recordable on the bilateral lower extremities prior to surgery. Once the patient was optimized for surgery, osteoplastic laminotomies from T6-T12 were performed. The dura was opened and the intradural, intramesenchymal hematoma was evacuated. There were two episodes of brisk arterial bleeding with hypotension during resection of the hematoma. The patient was taken to the angiography suite from the OR to successfully coil the large aneurysm. Intraoperative spinal cord monitoring remained undetectable in the bilateral lower extremities. The patient's paraplegia remained unchanged from preoperative presentation. CONCLUSION: Congenital syphilis may present with vascular changes that might impact surgical approaches and treatment outcomes in patients with spinal arteriovenous malformations. Preparation for massive transfusion and intraoperative monitoring are imperative in ensuring a safe perioperative experience.",exclude,"No consciousness relevance, no complexity measures and no neural data"
34080050,Acute-onset paraplegia as an unexpected complication under general anesthesia in supine position during abdominal endovascular aneurysm repair: a case report.,JA clinical reports,2021,"BACKGROUND: Acute onset paraplegia after endovascular aneurysm repair (EVAR) is a rare but well-known complication. We here show a 79-year-old woman with paraplegia caused by static and dynamic spinal cord insult not by ischemia after EVAR. CASE PRESENTATION: The patient underwent EVAR for abdominal aortic aneurism under general anesthesia in the supine position. She had a medical history of lumbar canal stenosis. After the surgery, we recognized severe paraplegia and sensory disorder of lower limbs. Although the possibility of spinal cord ischemia was considered at that time, postoperative magnetic resonance imaging (MRI) revealed burst fracture of vertebra and compressed spinal cord. CONCLUSIONS: Patients with spinal canal stenosis can cause extrinsic spinal cord injury even with weak external forces. Thus, even after EVAR, it is important to consider extrinsic factors as the cause of paraplegia.",exclude,"No consciousness relevance, no complexity measures and no neural data"
34454371,"Examining self-reported social functioning, sleep quality, and psychotic-like experiences in college students.",Journal of psychiatric research,2021,"Impairments in social and role functioning have been associated with the prodromal phase of psychosis. Additionally, sleep disturbances impacting daily functioning have been detected across the schizophrenia spectrum. Relationships between social functioning, sleep quality, and psychotic-like experiences (PLEs) in undergraduate-level student populations are less understood. The current project aimed to investigate whether self-reported measures of sleep quality would moderate the relationship between social functioning and PLE endorsement in a community sample of 3042 undergraduate student participants between the ages of 18-35. Participants completed the Social Functioning Scale, the Pittsburgh Sleep Quality Index, and the Prodromal Questionnaire, which indexed PLEs. Bivariate correlations revealed significant associations between social functioning, sleep, and PLEs. As expected, poor sleep and poor social functioning were associated with increased endorsement of PLEs. Contrary to expectation, poor sleep quality was associated with better social functioning. In hierarchical multiple regression models, the interaction between social functioning and sleep was not associated with PLE endorsement. Results indicated that both poor sleep and poor social functioning were significantly associated with PLEs when included in the same model. These findings suggest that poor social functioning and disrupted sleep may act additively to influence PLEs, and that they are both important contributors to psychotic symptoms. Due to deleterious effects of poor sleep on physical and emotional health, these findings provide impetus to further investigate relationships between sleep quality, social functioning, and PLEs using such high-resolution methods as actigraphy, mobile sensing, ecological momentary assessment, and neuroimaging.",exclude,"No consciousness relevance, no complexity measures and no neural data"
34482485,Neuroimaging findings in leukoencephalopathy with calcifications and cysts: case report and review of the literature.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2021,"Leukoencephalopathy with cerebral calcifications and cysts (LCC) is a neurological disorder characterized by the radiological triad of white matter abnormalities, intracranial calcifications and cystic lesions variable in size resulting from a diffuse cerebral microangiopathy. Typically, progressive focal neurological deficits and seizures are the first clinical manifestation, but the severity of symptoms can vary according to the size and location of the cystic lesions holding compressive effects on the surrounding brain tissue. The most common histopathological finding is diffuse microangiopathy, which might be associated to pathogenic mutations in SNORD118 gene causing Labrune syndrome. Similar neuroradiological appearances have been found in the Coats plus syndrome, a systemic disorder caused by a genetic diffuse microangiopathy that affects not only the brain but also the retina and multiple organs, with a more complex clinical picture that address the diagnosis; biallelic mutations in CTC1 gene, encoding the conserved telomere maintenance component 1 (CTC1), are responsible of this systemic disorder. The aim of this contribution is to review the existing literature focusing on the neuroimaging characteristics by reporting cases in which radiological findings were highly suggestive for LCC.",exclude,"No consciousness relevance, no complexity measures and no neural data"
34689628,Causality of cortical and cardiovascular activity during cyclic alternating pattern in non-rapid eye movement sleep.,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",2021,"The dynamic interplay between central and autonomic nervous system activities plays a pivotal role in orchestrating sleep. Macrostructural changes such as sleep-stage transitions or phasic, brief cortical events elicit fluctuations in neural outflow to the cardiovascular system, but the causal relationships between cortical and cardiovascular activities underpinning the microstructure of sleep are largely unknown. Here, we investigate cortical-cardiovascular interactions during the cyclic alternating pattern (CAP) of non-rapid eye movement sleep in a diverse set of overnight polysomnograms. We determine the Granger causality in both 507 CAP and 507 matched non-CAP sequences to assess the causal relationships between electroencephalography (EEG) frequency bands and respiratory and cardiovascular variables (heart period, respiratory period, pulse arrival time and pulse wave amplitude) during CAP. We observe a significantly stronger influence of delta activity on vascular variables during CAP sequences where slow, low-amplitude EEG activation phases (A1) dominate than during non-CAP sequences. We also show that rapid, high-amplitude EEG activation phases (A3) provoke a more pronounced change in autonomic activity than A1 and A2 phases. Our analysis provides the first evidence on the causal interplay between cortical and cardiovascular activities during CAP. Granger causality analysis may also be useful for probing the level of decoupling in sleep disorders. This article is part of the theme issue 'Advanced computation in cardiovascular physiology: new challenges and opportunities'.",include,
34826242,The contribution of low contrast-preferring neurons to information representation in the primary visual cortex after learning.,Science advances,2021,"Animals exhibit improved perception of lower-contrast visual objects after training. We explored this neuronal mechanism using multiple single-unit recordings from deep layers of the primary visual cortex (V1) of trained rats during orientation discrimination. We found that the firing rates of a subset of neurons increased by reducing luminance contrast, being at least above basal activities at low contrast. These low contrast–preferring neurons were rare during passive viewing without training or anesthesia after training. They fired more frequently in correct-choice than incorrect-choice trials. At single-neuron and population levels, they efficiently represented low-contrast orientations. Following training, in addition to generally enhanced excitation, the phase synchronization of spikes to beta oscillations at high contrast was stronger in putative inhibitory than excitatory neurons. The change in excitation-inhibition balance might contribute to low-contrast preference. Thus, low-contrast preference in V1 activity is strengthened in an experience-dependent manner, which may contribute to low-contrast visual discrimination.",maybe,
